"Show last %1 %2 log records","Show last %1 %2 log records"
"Log is empty","Log is empty"
"Unable to login","Unable to login"
"You have successfully logged in","You have successfully logged in"
"Something went wrong","Something went wrong"
"Unable to add shipping method to the cart: %1","Unable to add shipping method to the cart: %1"
"Unable to export cart, session data missing","Unable to export cart, session data missing"
"%1 not set or empty","%1 not set or empty"
"Invalid API-key","Invalid API-key"
"No active customer found for %1","No active customer found for %1"
"Manual & Support","Manual & Support"
"Close window","Close window"
"Download as .txt file","Download as .txt file"
"Last 100 debug log records","Last 100 debug log records"
"Last 100 error log records","Last 100 error log records"
"Failed to load data. Disable the ad blocker. If it didn't help, please contact us.","Failed to load data. Disable the ad blocker. If it didn't help, please contact us."
"Order data for PunchOut session","Order data for PunchOut session"
"Debug Mode","Debug Mode"
"Abeta API key","Abeta API key"
"Return Button Label","Return Button Label"
"Default Shipping Method","Default Shipping Method"
"Customer default billing address is not set.", "Customer default billing address is not set."
"Customer default shipping address is not set.", "Customer default shipping address is not set."
